Employee ID,Project ID,Progress
4740629,5,0.55
5836725,5,0.47
4302430,5,0.21
7859240,5,0.77
9668991,5,0.13
3693208,5,0.88
5022031,5,0.85
5449270,5,0.88
3813391,5,0.42
2083495,5,0.54
1115899,5,0.45
9512278,5,0.53
3133785,5,0.43
7775303,5,0.92
3424619,5,0.22
8439123,5,0.67
7351817,5,0.14
7217199,5,0.79
9053076,5,0.87
2472408,5,0.62
5433655,5,0.1
5988334,5,0.11
5927231,5,0.57
4015036,5,0.12
9438648,5,0.6
1207444,5,0.86
2203891,5,0.42
4665796,5,0.62
9625773,5,0.71
5669164,5,0.95
8184031,5,0.1
3059586,5,0.7
7571947,5,0.2
2249787,5,0.77
8678942,5,0.22
5735409,5,0.29
1912314,5,0.8
4018734,5,0.53
2034289,5,0.44
8016603,5,0.79
2747232,5,0.38
8327753,5,0.48
2760008,5,0.31
7958092,5,0.45
4183271,5,0.17
9461482,5,0.14
3815870,5,0.61
9622488,5,0.81
2296812,5,0.42
6414194,5,0.95
8137933,5,0.59
2721853,5,0.9
5768220,5,0.77
3915211,5,0.54
7288546,5,0.52
1353498,5,0.66
2880067,5,0.79
2526444,5,0.75
7020513,5,0.79
4881781,5,0.33
7172759,5,0.41
5721240,5,0.76
9770493,5,0.79
9010089,5,0.12
9860878,5,0.92
9044312,5,0.34
1866647,5,0.52
3980605,5,0.68
6491752,5,0.61
1335477,5,0.3
9053758,5,0.89
2260231,5,0.42
8160954,5,0.49
1883889,5,0.75
2885147,5,0.25
6460628,5,0.32
1503602,5,0.69
2269631,5,0.61
7650903,5,0.4
4830110,5,0.93
9473295,5,0.12
4545419,5,0.76
7392901,5,0.87
4702865,5,0.86
7664165,5,0.65
5704270,5,0.28
2197104,5,0.57
5136469,5,0.85
5467668,5,0.89
9944618,5,0.54
1464473,5,0.31
6402404,5,0.69
7889572,5,0.38
3431586,5,0.3
6093678,5,0.75
2682982,5,0.68
1888151,5,0.73
7573663,5,0.65
3685014,5,0.18
5127478,5,0.14
6836490,5,0.57
2668011,5,0.59
2910286,5,0.15
8205151,5,0.25
7716248,5,0.1
8156572,5,0.76
6061515,5,0.94
9388957,5,0.56
6242363,5,0.46
5856337,5,0.48
9413798,5,0.44
6982280,5,0.86
5591377,5,0.36
9302482,5,0.72
4644218,5,0.1
2315398,5,0.85
6007032,5,0.72
8396010,5,0.1
3264270,5,0.35
1861227,5,0.42
9306304,5,0.89
6135837,5,0.36
5319546,5,0.89
4072974,5,0.58
4121282,5,0.18
8311034,5,0.59
4460970,5,0.57
3895363,5,0.41
3746476,5,0.75
5524502,5,0.88
7075189,5,0.62
2347729,5,0.71
9483170,5,0.1
6775282,5,0.19
5591104,5,0.41
1745410,5,0.75
2764874,5,0.29
7724859,5,0.76
4350380,5,0.23
1787923,5,0.86
7511494,5,0.34
3331276,5,0.95
8557531,5,0.74
7975039,5,0.44
9036472,5,0.89
8868659,5,0.32
1584231,5,0.13
5814600,5,0.55
3121429,5,0.26
7448980,5,0.82
6839655,5,0.66
4555426,5,0.49
9250136,5,0.57
9105771,5,0.42
2724701,5,0.16
1998900,5,0.25
7893821,5,0.86
3917136,5,0.51
4714879,5,0.27
6858869,5,0.28
8111412,5,0.53
7808521,5,0.13
1177646,5,0.26
2300449,5,0.29
7263147,5,0.25
5410382,5,0.17
7977785,5,0.34
1825832,5,0.68
4226345,5,0.25
9395721,5,0.83
5136680,5,0.13
1350571,5,0.1
5551768,5,0.91
4701981,5,0.86
4697224,5,0.78
9840220,5,0.35
1931028,5,0.51
1599125,5,0.67
1983802,5,0.68
4874973,5,0.15
1400471,5,0.19
6093405,5,0.44
3566887,5,0.46
9720641,5,0.41
4128509,5,0.5
3060171,5,0.17
7017872,5,0.52
5032293,5,0.19
3422041,5,0.77
2754358,5,0.18
8170932,5,0.18
2548395,5,0.8
5825537,5,0.85
5189061,5,0.53
9318400,5,0.45
6378727,5,0.88
8046731,5,0.15
7405898,5,0.11
4034563,5,0.19
1266743,5,0.33
7762891,5,0.3
3534322,5,0.38
8919860,5,0.84
9077583,5,0.32
3187584,5,0.56
1830964,5,0.72
6095625,5,0.71
8517345,5,0.51
8553952,5,0.69
3294460,5,0.59
2495106,5,0.56
6509405,5,0.85
5989599,5,0.59
2625134,5,0.89
6755797,5,0.51
5429870,5,0.74
1345910,5,0.65
3856094,5,0.46
6979188,5,0.49
9424149,5,0.95
3777290,5,0.31
2356579,5,0.39
5041898,5,0.83
5933442,5,0.47
5916844,5,0.42
6965072,5,0.84
2355672,5,0.56
8320868,5,0.79
2564092,5,0.24
8623047,5,0.33
2212090,5,0.45
3753025,5,0.62
3621644,5,0.42
4020647,5,0.5
5498787,5,0.28
3141482,5,0.42
9839977,5,0.18
2660444,5,0.13
7771292,5,0.44
6114738,5,0.32
7157443,5,0.19
8531431,5,0.93
1785508,5,0.19
8114813,5,0.47
7403055,5,0.25
4131266,5,0.27
7226760,5,0.29
4186249,5,0.34
7508425,5,0.35
3219234,5,0.77
8682909,5,0.21
2936629,5,0.28
3296235,5,0.35
1497351,5,0.8
5523777,5,0.38
5969157,5,0.72
5529531,5,0.28
1311812,5,0.87
9611998,5,0.81
2382553,5,0.6
7928003,5,0.24
1749590,5,0.86
3181827,5,0.63
6480622,5,0.35
9925897,5,0.55
4012438,5,0.56
3186880,5,0.6
3598669,5,0.29
6161715,5,0.17
6475628,5,0.26
1141428,5,0.39
3258497,5,0.21
9566973,5,0.84
1582219,5,0.39
5658599,5,0.78
5981733,5,0.49
3015367,5,0.81
5769087,5,0.67
2093086,5,0.49
3812442,5,0.21
6582837,5,0.66
1367814,5,0.61
4542033,5,0.58
9750977,5,0.9
7408855,5,0.62
7356910,5,0.25
3413881,5,0.23
2881752,5,0.76
3442424,5,0.52
4413107,5,0.88
9316784,5,0.11
9897740,5,0.3
3562490,5,0.91
2901430,5,0.73
3535352,5,0.18
9140275,5,0.95
9661846,5,0.6
7118139,5,0.38
9068142,5,0.91
8132643,6,0.21
3471476,6,0.6
3638210,6,0.14
8780058,6,0.18
7598516,6,0.38
5362398,6,0.34
4810872,6,0.29
3762417,6,0.2
5944613,6,0.63
5950108,6,0.81
5370020,6,0.83
5091021,6,0.3
8397571,6,0.28
8236873,6,0.15
4931640,6,0.45
5551958,6,0.66
8225897,6,0.12
5076312,6,0.44
7475274,6,0.74
7744998,6,0.9
7914851,6,0.45
6089844,6,0.41
6102334,6,0.76
3670330,6,0.54
5004164,6,0.79
8481795,6,0.22
1665566,6,0.8
8250782,6,0.15
2288649,6,0.82
4593019,6,0.12
9287540,6,0.34
8084771,6,0.23
6138747,6,0.94
5785124,6,0.43
6326444,6,0.37
2711448,6,0.54
5825378,6,0.38
1393480,6,0.41
7300634,6,0.51
1954067,6,0.64
7411972,6,0.12
9104204,6,0.95
4055240,6,0.66
7154289,6,0.42
4802288,6,0.22
3146553,6,0.36
2220331,6,0.51
7360611,6,0.52
1752328,6,0.46
8271964,6,0.85
7223031,6,0.28
4956916,6,0.1
3785073,6,0.75
6643183,6,0.21
8220195,6,0.89
8400399,6,0.81
9845541,6,0.77
8870970,6,0.56
2180999,6,0.16
5444019,6,0.78
8675350,6,0.13
5995061,6,0.59
9342439,6,0.63
4694787,6,0.84
2990956,6,0.86
9151901,6,0.33
6609459,6,0.61
9996560,6,0.23
6633974,6,0.85
1317108,6,0.74
9774264,6,0.93
7114840,6,0.9
3983313,6,0.67
1565989,6,0.88
1942131,6,0.63
2988595,6,0.25
7914067,6,0.61
5136476,6,0.3
4304601,6,0.28
8538960,6,0.8
5500923,6,0.8
9045267,6,0.57
9446175,6,0.3
4234155,6,0.59
1915357,6,0.59
8784177,6,0.63
7863347,6,0.17
7463452,6,0.76
4371840,6,0.77
6210522,6,0.46
5989454,6,0.93
3020932,6,0.78
8257320,6,0.74
9019037,6,0.23
3381883,6,0.35
5215630,6,0.89
1489184,6,0.47
5634578,6,0.92
7427731,6,0.42
6089067,6,0.42
1489167,6,0.57
3793378,6,0.57
1774421,6,0.91
7293768,6,0.88
8233950,6,0.18
4995999,6,0.11
6379381,6,0.76
1173827,6,0.79
6529371,6,0.92
8624144,6,0.2
6709861,6,0.25
4338858,6,0.91
7181858,6,0.9
1402051,6,0.15
8459150,6,0.9
3086522,6,0.4
8536189,6,0.1
4569913,6,0.25
6401094,6,0.36
6186213,6,0.53
5462007,6,0.2
7261972,6,0.43
7666853,6,0.81
7820306,6,0.49
8238495,6,0.8
9487317,6,0.67
7293431,6,0.87
5928400,6,0.12
5444790,6,0.13
6451935,6,0.23
5438915,6,0.18
9893057,6,0.35
6266545,6,0.41
4232474,6,0.84
2408602,6,0.41
9720597,6,0.62
9313610,6,0.8
3596183,6,0.76
6871028,6,0.51
6564023,6,0.95
1960976,6,0.53
1467189,6,0.22
3881057,6,0.9
5722720,6,0.25
4006960,6,0.53
4383328,6,0.55
8732345,6,0.13
4572530,6,0.48
9088011,6,0.11
7886139,6,0.7
1112820,6,0.33
6834956,6,0.2
2545278,6,0.31
9563897,6,0.22
9666288,6,0.27
2660376,6,0.58
9261710,6,0.62
9920838,6,0.2
7108687,6,0.52
6303219,6,0.27
2458452,6,0.88
3371721,6,0.36
8365191,6,0.5
3059348,6,0.22
8782353,6,0.72
1784832,6,0.41
4176184,6,0.1
1340041,6,0.36
8497613,6,0.56
9846246,6,0.58
6481189,6,0.62
7405696,6,0.42
4093979,6,0.87
3222946,6,0.35
9386298,6,0.44
5577076,6,0.37
7167709,6,0.67
7340006,6,0.49
5978212,6,0.34
5348733,6,0.76
7316418,6,0.67
2141944,6,0.95
3417596,6,0.29
9819199,6,0.47
3271368,6,0.34
6976687,6,0.91
7084265,6,0.76
8856905,6,0.35
1735299,6,0.24
5418499,6,0.4
8127865,6,0.46
3252148,6,0.61
4511839,6,0.45
6839153,6,0.42
3854172,6,0.76
8733019,6,0.75
6136676,6,0.12
9143915,6,0.37
6539577,6,0.35
2798176,6,0.68
1239730,6,0.79
4740629,6,0.42
5836725,6,0.77
4302430,6,0.52
7859240,6,0.89
9668991,6,0.75
3693208,6,0.2
5022031,6,0.53
5449270,6,0.31
3813391,6,0.78
2083495,6,0.32
1115899,6,0.29
9512278,6,0.25
3133785,6,0.46
7775303,6,0.53
3424619,6,0.58
8439123,6,0.3
7351817,6,0.34
7217199,6,0.64
9053076,6,0.63
2472408,6,0.87
5433655,6,0.34
5988334,6,0.49
5927231,6,0.48
4015036,6,0.74
9438648,6,0.19
1207444,6,0.95
2203891,6,0.31
4665796,6,0.44
9625773,6,0.6
5669164,6,0.28
8184031,6,0.22
3059586,6,0.87
7571947,6,0.78
2249787,6,0.27
8678942,7,0.5
5735409,7,0.84
1912314,7,0.77
4018734,7,0.57
2034289,7,0.56
8016603,7,0.65
2747232,7,0.28
8327753,7,0.88
2760008,7,0.95
7958092,7,0.23
4183271,7,0.8
9461482,7,0.81
3815870,7,0.36
9622488,7,0.46
2296812,7,0.92
6414194,7,0.82
8137933,7,0.77
2721853,7,0.17
5768220,7,0.88
3915211,7,0.3
7288546,7,0.16
1353498,7,0.52
2880067,7,0.82
2526444,7,0.3
7020513,7,0.47
4881781,7,0.3
7172759,7,0.53
5721240,7,0.84
9770493,7,0.87
9010089,7,0.46
9860878,7,0.57
9044312,7,0.94
1866647,7,0.82
3980605,7,0.66
6491752,7,0.66
1335477,7,0.89
9053758,7,0.57
2260231,7,0.92
8160954,7,0.37
1883889,7,0.92
2885147,7,0.41
6460628,7,0.2
1503602,7,0.14
2269631,7,0.24
7650903,7,0.1
4830110,7,0.45
9473295,7,0.38
4545419,7,0.2
7392901,7,0.9
4702865,7,0.51
7664165,7,0.2
5704270,7,0.74
2197104,7,0.18
5136469,7,0.62
5467668,7,0.95
9944618,7,0.55
1464473,7,0.43
6402404,7,0.45
7889572,7,0.41
3431586,7,0.16
6093678,7,0.7
2682982,7,0.56
1888151,7,0.78
7573663,7,0.66
3685014,7,0.45
5127478,7,0.15
6836490,7,0.75
2668011,7,0.54
2910286,7,0.36
8205151,7,0.16
7716248,7,0.83
8156572,7,0.85
6061515,7,0.74
9388957,7,0.63
6242363,7,0.51
5856337,7,0.14
9413798,7,0.82
6982280,7,0.65
5591377,7,0.17
9302482,7,0.47
4644218,7,0.24
2315398,7,0.55
6007032,7,0.41
8396010,7,0.6
3264270,7,0.14
1861227,7,0.63
9306304,7,0.66
6135837,7,0.82
5319546,7,0.56
4072974,7,0.13
4121282,7,0.19
8311034,7,0.7
4460970,7,0.76
3895363,7,0.24
3746476,7,0.54
5524502,7,0.11
7075189,7,0.36
2347729,7,0.36
9483170,7,0.16
6775282,7,0.66
5591104,7,0.79
1745410,7,0.1
2764874,7,0.37
7724859,7,0.56
4350380,7,0.5
1787923,7,0.29
7511494,7,0.58
3331276,7,0.7
8557531,7,0.93
7975039,7,0.33
9036472,7,0.29
8868659,7,0.62
1584231,7,0.7
5814600,8,0.63
3121429,8,0.8
7448980,8,0.48
6839655,8,0.15
4555426,8,0.2
9250136,8,0.51
9105771,8,0.58
2724701,8,0.43
1998900,8,0.28
7893821,8,0.95
3917136,8,0.79
4714879,8,0.46
6858869,8,0.86
8111412,8,0.47
7808521,8,0.74
1177646,8,0.86
2300449,8,0.88
7263147,8,0.78
5410382,8,0.2
7977785,8,0.81
1825832,8,0.27
4226345,8,0.46
9395721,8,0.57
5136680,8,0.59
1350571,8,0.76
5551768,8,0.15
4701981,8,0.46
4697224,8,0.47
9840220,8,0.82
1931028,8,0.29
1599125,8,0.21
1983802,8,0.13
4874973,8,0.14
1400471,8,0.81
6093405,8,0.3
3566887,8,0.28
9720641,8,0.2
4128509,8,0.58
3060171,8,0.32
7017872,8,0.29
5032293,8,0.35
3422041,8,0.48
2754358,8,0.72
8170932,8,0.35
2548395,8,0.41
5825537,8,0.18
5189061,8,0.5
9318400,8,0.43
6378727,8,0.22
8046731,8,0.9
7405898,8,0.38
4034563,8,0.38
1266743,8,0.6
7762891,8,0.55
3534322,8,0.53
8919860,8,0.85
9077583,8,0.28
3187584,8,0.87
1830964,8,0.23
6095625,8,0.52
8517345,8,0.49
8553952,8,0.72
3294460,8,0.21
2495106,8,0.62
6509405,8,0.37
5989599,8,0.6
2625134,8,0.64
6755797,8,0.36
5429870,8,0.1
1345910,8,0.47
3856094,8,0.32
6979188,8,0.22
9424149,8,0.93
3777290,8,0.25
2356579,8,0.5
5041898,8,0.8
5933442,8,0.89
5916844,8,0.57
6965072,8,0.76
2355672,8,0.32
8320868,8,0.76
2564092,8,0.54
8623047,8,0.89
2212090,8,0.8
3753025,8,0.29
3621644,8,0.44
4020647,8,0.21
5498787,8,0.57
3141482,8,0.1
9839977,8,0.44
2660444,8,0.14
7771292,8,0.77
6114738,8,0.25
7157443,8,0.58
8531431,8,0.49
1785508,8,0.43
8114813,8,0.78
7403055,8,0.22
4131266,8,0.59
7226760,8,0.41
4186249,8,0.7
7508425,8,0.38
3219234,8,0.29
8682909,8,0.49
2936629,8,0.53
3296235,8,0.72
1497351,8,0.9
5523777,8,0.49
5969157,8,0.66
5529531,8,0.36
1311812,8,0.17
9611998,8,0.11
7863347,8,0.17
7928003,8,0.18
1749590,8,0.85
3181827,8,0.29
6480622,8,0.1
9925897,8,0.18
4012438,8,0.72
3186880,8,0.9
3598669,8,0.55
6161715,8,0.32
6475628,8,0.52
1141428,8,0.28
3258497,8,0.92
9566973,8,0.54
1582219,8,0.86
5658599,8,0.15
5981733,8,0.51
3015367,8,0.21
5769087,8,0.25
2093086,8,0.26
3812442,8,0.59
6582837,8,0.43
1367814,8,0.42
4542033,8,0.64
9750977,8,0.2
7408855,8,0.78
7356910,8,0.74
3413881,8,0.56
2881752,8,0.7
3442424,8,0.28
4413107,8,0.3
9316784,8,0.16
9897740,8,0.26
3562490,8,0.6
2901430,8,0.74
3535352,8,0.78
9140275,8,0.55
9661846,8,0.78
7118139,8,0.88
9068142,8,0.86
8132643,8,0.64
3471476,8,0.17
3638210,8,0.68
8780058,8,0.72
7598516,8,0.79
5362398,8,0.68
4810872,8,0.15
3762417,8,0.79
5944613,8,0.92
5950108,8,0.83
5370020,8,0.9
5091021,8,0.76
8397571,8,0.58
8236873,8,0.83
4931640,8,0.13
5551958,8,0.94
8225897,8,0.74
5076312,8,0.3
7475274,8,0.7
7744998,8,0.67
7914851,8,0.84
6089844,8,0.31
6102334,8,0.54
3670330,8,0.83
5004164,8,0.29
8481795,8,0.39
1665566,8,0.12
8250782,8,0.82
2288649,8,0.66
4593019,8,0.93
9287540,8,0.46
8084771,8,0.31
6138747,8,0.13
5785124,8,0.41
6326444,8,0.75
2711448,8,0.77
5825378,8,0.62
1393480,8,0.51
7300634,8,0.81
1954067,8,0.84
7411972,8,0.62
9104204,8,0.89
4055240,8,0.34
9668991,8,0.13
4802288,8,0.35
3146553,8,0.17
2220331,8,0.49
7360611,8,0.59
1752328,8,0.16
8271964,8,0.6
7223031,8,0.4
4956916,8,0.36
3785073,8,0.19
6643183,8,0.59
8220195,8,0.16
8400399,8,0.45
9845541,8,0.14
8870970,8,0.15
2180999,8,0.9
5444019,8,0.79
8675350,8,0.2
5995061,8,0.69
9342439,8,0.87
4694787,8,0.18
2990956,8,0.82
9151901,8,0.43
6609459,8,0.85
9996560,8,0.46
6633974,8,0.7
1317108,8,0.38
9774264,8,0.49
7114840,8,0.47
3983313,8,0.14
1565989,8,0.75
1942131,8,0.39
2988595,8,0.67
7914067,8,0.9
5136476,8,0.31
4304601,8,0.7
8538960,8,0.15
5500923,8,0.7
9045267,8,0.15
9446175,8,0.17
4234155,8,0.47
1915357,8,0.67
8784177,8,0.38
7863347,8,0.63
7463452,8,0.78
4371840,8,0.82
6210522,8,0.66
5989454,9,0.76
3020932,9,0.13
8257320,9,0.25
9019037,9,0.46
3381883,9,0.57
5215630,9,0.93
1489184,9,0.75
5634578,9,0.73
7427731,9,0.39
6089067,9,0.25
1489167,9,0.55
3793378,9,0.94
1774421,9,0.61
7293768,9,0.16
8233950,9,0.7
4995999,9,0.35
6379381,9,0.52
1173827,9,0.91
6529371,9,0.45
8624144,9,0.34
6709861,9,0.3
4338858,9,0.65
7181858,9,0.78
1402051,9,0.23
8459150,9,0.94
3086522,9,0.54
8536189,9,0.41
4569913,9,0.23
6401094,9,0.81
6186213,9,0.3
5462007,9,0.68
7261972,9,0.37
7666853,9,0.21
7820306,9,0.87
8238495,9,0.46
9487317,9,0.19
7293431,9,0.74
5928400,9,0.89
5444790,9,0.76
6451935,9,0.36
5438915,9,0.84
9893057,9,0.38
6266545,9,0.87
4232474,9,0.48
2408602,9,0.59
9720597,9,0.63
9313610,9,0.81
3596183,9,0.94
6871028,9,0.68
6564023,9,0.76
1960976,9,0.37
1467189,9,0.28
3881057,9,0.45
5722720,9,0.29
4006960,9,0.71
4383328,9,0.36
8732345,9,0.43
4572530,9,0.31
9088011,9,0.15
7886139,9,0.95
1112820,9,0.2
6834956,9,0.52
2545278,9,0.1
9563897,9,0.75
9666288,9,0.83
2660376,9,0.62
9261710,9,0.87
9920838,9,0.45
7108687,9,0.8
6303219,9,0.23
2458452,9,0.68
3371721,9,0.76
8365191,9,0.62
3059348,9,0.72
8782353,9,0.42
1784832,9,0.86
4176184,9,0.45
1340041,9,0.66
8497613,9,0.35
9846246,9,0.11
6481189,9,0.73
7405696,9,0.93
4093979,9,0.12
3222946,9,0.44
9386298,9,0.14
5577076,9,0.37
7167709,9,0.19
7340006,9,0.5
5978212,9,0.44
5348733,9,0.63
7316418,9,0.41
2141944,9,0.63
3417596,9,0.88
9819199,9,0.67
3271368,9,0.43
6976687,9,0.59
7084265,9,0.82
8856905,9,0.46
1735299,9,0.68
5418499,9,0.23
8127865,9,0.81
3252148,9,0.64
4511839,9,0.24
6839153,9,0.78
3854172,9,0.47
8733019,9,0.74
6136676,9,0.2
9143915,9,0.33
9668991,9,0.13
